City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Lewiston,US,44.1003,-70.2148,36.23,82,100,1.01,overcast clouds
79,Itaituba,BR,-4.2761,-55.9836,72.54,95,78,1.16,broken clouds
80,Eureka,US,40.8021,-124.1637,43.41,91,87,5.26,overcast clouds
81,Qostanay,KZ,53.1667,63.5833,-12.71,77,0,8.95,clear sky
82,Ajdabiya,LY,30.7554,20.2263,59.07,76,27,7.45,light rain
83,Fort Nelson,CA,58.8053,-122.7002,-15.21,70,100,6.91,light snow
84,Defiance,US,41.3334,-84.45,56.07,83,84,21.3,broken clouds
85,Riviere-Au-Renard,CA,48.9957,-64.3971,14.29,78,17,12.24,few clouds
86,Upernavik,GL,72.7868,-56.1549,5.38,95,100,14.92,light snow
87,Yellowknife,CA,62.456,-114.3525,-26.88,68,40,5.75,light snow
88,Tsabong,BW,-26.0217,22.401,75.76,44,99,10.02,overcast clouds
89,Berbera,SO,10.4396,45.0143,76.32,70,9,5.53,clear sky
90,Dingle,PH,10.9995,122.6711,84.52,73,78,15.05,broken clouds
91,Bajitpur,BD,24.2167,90.95,82.49,52,54,3.83,broken clouds
92,Port Lincoln,AU,-34.7333,135.8667,63.68,59,25,10.33,scattered clouds
93,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,84,75,11.5,broken clouds
94,Alma,CA,48.5501,-71.6491,20.41,93,100,7.18,overcast clouds
95,Ancud,CL,-41.8697,-73.8203,45.18,75,5,7.61,clear sky
96,Codrington,AU,-38.2667,141.9667,61.0,67,93,11.14,overcast clouds
97,Diffa,NE,13.3154,12.6113,61.99,31,37,7.85,scattered clouds
98,Berlevag,NO,70.8578,29.0864,37.4,80,100,16.11,overcast clouds
99,Dikson,RU,73.5069,80.5464,4.89,98,98,4.05,overcast clouds
100,Saint-Nazaire,FR,47.2833,-2.2,44.35,98,100,8.05,mist
101,Cidreira,BR,-30.1811,-50.2056,70.38,91,52,16.11,broken clouds
102,Lixourion,GR,38.2019,20.4314,56.01,84,99,15.73,overcast clouds
103,Kodiak,US,57.79,-152.4072,27.91,50,0,13.8,clear sky
104,Lagoa,PT,39.05,-27.9833,61.99,69,100,6.8,overcast clouds
105,East London,ZA,-33.0153,27.9116,70.74,88,0,3.44,clear sky
106,San Carlos De Bariloche,AR,-41.1456,-71.3082,46.15,53,20,2.3,few clouds
107,Nikolskoye,RU,59.7035,30.7861,26.49,92,100,4.32,overcast clouds
108,Roma,US,43.2128,-75.4557,36.09,79,0,10.36,clear sky
109,Varkaus,FI,62.3153,27.873,28.31,98,100,5.57,overcast clouds
110,Sayyan,YE,15.1718,44.3244,48.81,40,0,3.96,clear sky
111,Kostomuksha,RU,64.571,30.5767,25.21,97,100,2.77,overcast clouds
112,Minchinabad,PK,30.163,73.5685,67.91,25,0,2.39,clear sky
113,Puerto Ayora,EC,-0.7393,-90.3518,69.55,89,46,8.99,scattered clouds
114,Vaini,TO,-21.2,-175.2,82.56,74,20,10.36,few clouds
115,Weligama,LK,5.9667,80.4167,82.2,72,56,2.8,broken clouds
116,Sibolga,ID,1.7427,98.7792,84.61,63,59,4.38,broken clouds
117,Hilo,US,19.7297,-155.09,79.29,91,100,3.44,overcast clouds
118,Tasiilaq,GL,65.6145,-37.6368,39.36,94,100,37.92,light rain
119,Te Anau,NZ,-45.4167,167.7167,54.75,81,68,7.52,broken clouds
120,Tuatapere,NZ,-46.1333,167.6833,49.21,83,95,15.68,overcast clouds
121,Soyaux,FR,45.65,0.2,41.59,95,100,3.44,fog
122,Hasaki,JP,35.7333,140.8333,68.29,77,100,12.75,moderate rain
123,Geraldton,AU,-28.7667,114.6,75.61,69,40,10.36,scattered clouds
124,Lavrentiya,RU,65.5833,-171.0,30.87,99,100,10.85,snow
125,Marawi,PH,7.9986,124.2928,78.17,75,96,6.91,light rain
126,Pevek,RU,69.7008,170.3133,7.18,95,100,11.97,light snow
127,Takoradi,GH,4.8845,-1.7554,77.54,84,87,0.56,light rain
128,Maceio,BR,-9.6658,-35.7353,74.64,94,100,6.91,moderate rain
129,Esperance,AU,-33.8667,121.9,78.12,38,100,13.2,overcast clouds
130,Luderitz,NA,-26.6481,15.1594,59.9,90,0,7.25,clear sky
131,Port Alfred,ZA,-33.5906,26.891,71.35,80,3,3.51,clear sky
132,Qasigiannguit,GL,68.8193,-51.1922,26.85,93,100,2.98,overcast clouds
133,Iqaluit,CA,63.7506,-68.5145,-16.87,69,20,11.5,few clouds
134,Kapaa,US,22.0752,-159.319,79.12,84,0,3.44,clear sky
135,Bengkulu,ID,-3.8004,102.2655,83.61,70,97,4.68,overcast clouds
136,Seoul,KR,37.5683,126.9778,27.79,24,41,13.82,scattered clouds
137,Chokurdakh,RU,70.6333,147.9167,-9.09,99,100,6.89,light snow
138,Horki,BY,54.2861,30.9842,21.65,91,100,8.34,overcast clouds
139,Ponta Do Sol,PT,32.6667,-17.1,62.71,72,18,3.4,few clouds
140,Gilbues,BR,-9.8317,-45.3439,67.15,98,100,3.0,overcast clouds
141,Ekpoma,NG,6.7421,6.139,68.63,96,12,2.13,few clouds
142,Mahebourg,MU,-20.4081,57.7,80.26,65,40,4.61,scattered clouds
143,Lompoc,US,34.6391,-120.4579,48.58,86,0,3.44,clear sky
144,Queanbeyan,AU,-35.35,149.2333,76.37,44,0,6.91,clear sky
145,Domoni,KM,-12.2569,44.5319,78.69,77,12,4.29,few clouds
146,Koumac,NC,-20.5667,164.2833,87.91,60,79,9.69,broken clouds
147,Provideniya,RU,64.3833,-173.3,32.36,100,100,11.18,snow
148,Makasar,ID,-5.14,119.4221,86.05,62,40,5.75,scattered clouds
149,Lakes Entrance,AU,-37.8811,147.981,65.16,56,5,9.1,clear sky
150,Puerto Escondido,MX,15.85,-97.0667,78.49,77,68,2.75,light rain
151,Pacific Grove,US,36.6177,-121.9166,47.88,82,0,3.44,clear sky
152,Mahon,ES,39.8885,4.2658,54.16,62,20,16.11,few clouds
153,Yumen,CN,40.2833,97.2,7.61,66,94,4.32,overcast clouds
154,Dali,CN,25.7,100.1833,62.58,46,1,3.2,clear sky
155,Khatanga,RU,71.9667,102.5,-25.55,96,6,4.38,clear sky
156,Kapustin Yar,RU,48.5831,45.7372,22.68,45,4,9.01,clear sky
157,Quatre Cocos,MU,-20.2078,57.7625,80.1,67,95,9.93,overcast clouds
158,Broome,US,42.2506,-75.833,37.62,77,0,12.66,clear sky
159,Venice,US,27.0998,-82.4543,72.0,84,0,6.91,clear sky
160,Bereda,ES,43.2686,-7.5406,44.42,100,92,2.24,overcast clouds
161,Kavieng,PG,-2.5744,150.7967,85.01,61,100,6.08,overcast clouds
162,Yarmouth,US,41.7057,-70.2286,46.96,86,40,3.44,scattered clouds
163,San Cristobal,VE,7.7669,-72.225,66.38,98,100,3.91,overcast clouds
164,Morgan City,US,29.6994,-91.2068,77.0,94,100,16.11,overcast clouds
165,Ust-Nera,RU,64.5667,143.2,-18.63,100,100,6.8,overcast clouds
166,Emilio Carranza,MX,19.9711,-96.6114,76.01,89,87,8.01,overcast clouds
167,Lebu,CL,-37.6167,-73.65,53.85,82,88,18.79,overcast clouds
168,Laguna,US,38.421,-121.4238,49.08,65,0,0.0,clear sky
169,Tessalit,ML,20.1986,1.0114,66.2,20,99,5.5,overcast clouds
170,Eenhana,NA,-17.4667,16.3333,75.15,38,97,9.82,overcast clouds
171,Bressuire,FR,46.9167,-0.5,38.08,90,15,4.74,few clouds
172,Sihora,IN,23.4833,80.1167,63.73,45,64,5.1,broken clouds
173,Sambava,MG,-14.2667,50.1667,75.22,75,1,4.34,clear sky
174,Vardo,NO,70.3705,31.1107,31.98,86,81,23.02,broken clouds
175,Abu Dhabi,AE,24.4667,54.3667,73.96,83,84,4.61,broken clouds
176,Launceston,AU,-41.45,147.1667,73.04,50,40,16.11,scattered clouds
177,Dahuk,IQ,36.8695,42.994,55.26,87,100,2.77,overcast clouds
178,Chapais,CA,49.7834,-74.8492,15.58,90,100,11.18,overcast clouds
179,High Level,CA,58.5169,-117.136,-7.49,71,100,13.8,light snow
180,Palu,ID,-0.8917,119.8707,84.78,69,100,3.31,overcast clouds
181,Veraval,IN,20.9,70.3667,78.04,37,4,11.41,clear sky
182,Vetluzhskiy,RU,58.3902,45.4654,3.25,97,20,2.59,few clouds
183,Butaritari,KI,3.0707,172.7902,81.21,75,16,9.93,few clouds
184,Lukulu,ZM,-14.3707,23.242,62.29,96,75,4.32,light rain
185,Rome,US,34.257,-85.1647,61.27,93,100,16.11,heavy intensity rain
